publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
3268876,earthquake,2010-03-01T22:15:50.227Z,2013-07-09T16:01:00.000Z,172.83263,-41.32833,2.493,96.5676,ML,,GROPE,reviewed,,nz1dr,9,6,2,0.426,100,0.13489,0.063
3268875,earthquake,2010-03-01T22:13:08.880Z,2013-07-09T16:01:00.000Z,177.17891,-39.86101,2.379,21.0852,ML,,GROPE,reviewed,,nz1dr,12,9,5,0.215,247,0.28826,0.094
3268869,earthquake,2010-03-01T21:58:02.579Z,2013-07-09T16:01:00.000Z,177.31693,-37.12226,3.398,124.6797,ML,,GROPE,reviewed,,nz1dr,18,13,23,0.735,274,0.18095,0.3
3268866,earthquake,2010-03-01T21:52:15.063Z,2013-07-09T16:01:00.000Z,177.11537,-39.6235,2.203,41.0703,ML,,GROPE,reviewed,,nz1dr,8,5,6,0.047,244,0.06147,0.16
3268865,earthquake,2010-03-01T21:49:55.465Z,2013-07-09T16:01:00.000Z,177.10751,-39.63741,2.231,41.8411,ML,,GROPE,reviewed,,nz1dr,8,5,6,0.032,250,0.04303,0.144
3268858,earthquake,2010-03-01T21:32:06.837Z,2013-07-09T16:01:00.000Z,177.11018,-39.5502,2.349,28.3335,ML,,GROPE,reviewed,,nz1dr,15,11,9,0.112,153,0.20605,0.192
3280371,earthquake,2010-03-01T20:41:00.385Z,2013-07-09T16:15:00.000Z,167.03053,-45.27924,2.541,12,ML,operator assigned,GROPE,reviewed,,nz1dr,7,5,6,0.206,278,0.19224,0.155
3268836,earthquake,2010-03-01T20:40:12.231Z,2013-07-09T16:01:00.000Z,167.34302,-44.90968,2.583,5,ML,operator assigned,GROPE,reviewed,,nz1dr,8,6,6,0.573,219,0.26092,0.292
3268818,earthquake,2010-03-01T19:55:44.228Z,2013-07-09T16:01:00.000Z,172.69785,-42.25666,2.613,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,8,8,0.516,96,0.40865,0.295
3268808,earthquake,2010-03-01T19:26:20.902Z,2013-07-09T16:01:00.000Z,172.66531,-41.19179,3.062,203.8,ML,,GROPE,reviewed,,nz1dr,7,4,2,0.379,181,0.15543,0.111
3268791,earthquake,2010-03-01T18:39:31.060Z,2013-07-09T16:01:00.000Z,176.11488,-40.21263,2.584,29.4166,ML,,GROPE,reviewed,,nz1dr,27,23,16,0.096,86,0.20061,0.124
3268789,earthquake,2010-03-01T18:27:47.179Z,2013-07-09T16:01:00.000Z,176.63528,-37.83672,1.794,5.4536,ML,,GROPE,reviewed,,nz1dr,8,6,4,0.036,202,0.10383,0.14
